e,unfollow,V,0.00042301184433164127
e,products,N,0.0009398496240601503
e,#LB,#,0.005952380952380952
e,changing,V,0.00042301184433164127
e,@USER_f09a721e,@,0.0012919896640826874
e,divorce,N,0.00046992481203007516
e,study,N,0.00046992481203007516
e,VH1,^,0.0010277492291880781
e,As,R,0.002805049088359046
e,west,^,0.0010277492291880781
e,stupid,A,0.0012706480304955528
e,decided,V,0.00042301184433164127
e,tho,P,0.0007369196757553427
e,http://ow.ly/19Fgxo,U,0.00390625
e,write-in,N,0.00046992481203007516
e,trippppin,V,0.00042301184433164127
e,http://twitpic.com/317itr,U,0.00390625
e,#utcd2,#,0.005952380952380952
e,plans,N,0.00046992481203007516
e,reviews,N,0.00046992481203007516
e,Janet,^,0.0010277492291880781
e,@USER_44dc7e11,@,0.0012919896640826874
e,release,N,0.0009398496240601503
e,....,",",0.012466124661246613
e,bed,N,0.00046992481203007516
e,http://tl.gd/6m3nns,U,0.00390625
e,gal,N,0.00046992481203007516
e,out,T,0.308411214953271
e,Ha,!,0.007246376811594203
e,BOOF,!,0.0024154589371980675
e,""".",",",0.0005420054200542005
e,Based,V,0.00042301184433164127
e,somethin,N,0.00046992481203007516
e,gettin,V,0.00042301184433164127
e,<==,~,0.0019801980198019802
e,Surrounded,V,0.00042301184433164127
e,software,N,0.00046992481203007516
e,diner,N,0.00046992481203007516
e,SO,R,0.004207573632538569
e,Kali,^,0.0010277492291880781
e,@USER_6d1ed08e,@,0.0012919896640826874
e,im,L,0.04633204633204633
e,suck,V,0.0008460236886632825
e,Yo,!,0.0024154589371980675
e,@USER_d06efbc4,@,0.0012919896640826874
e,WOW,!,0.0024154589371980675
e,10pm,$,0.004524886877828055
e,employees,N,0.00046992481203007516
e,http://hulkshare.com/jp,U,0.00390625
e,tone,N,0.00046992481203007516
e,hurting,V,0.00042301184433164127
e,@USER_38700c86,@,0.0012919896640826874
e,losing,V,0.00042301184433164127
e,",",~,0.0019801980198019802
e,YOUR,D,0.0009813542688910696
e,K,^,0.0010277492291880781
e,know,V,0.00972927241962775
